DB Size,Image Size,,
13268,43200,,
Cores,DB load,Full application,Compute
16,930.85,1087.96,157.11
32,567.95,664.68,96.73
64,232.97,274.05,41.08
128,126.2,160.41,34.21
,,,
DB Size,Image Size,,
793121,43200,,
Cores,DB load,Full application,Compute
16,32043.36,32383.18,339.82
32,9829.62,10003.03,173.41
64,1712.95,1787.02,74.07
128,598.75,642.92,44.17
,,,
DB Size,Image Size,,
13268,1225,,
Cores,DB load,Full application,Compute
16,9.96,14.66,4.7
32,4.89,7.58,2.69
64,2.18,3.1,0.92
128,1.29,2.64,1.35
,,,
DB Size,Image Size,,
793121,1225,,
Cores,DB load,Full application,Compute
16,28272.31,28289.09,16.78
32,6685.05,6691,5.95
64,1635,1638,3
128,445.31,447.03,1.72
